Window,Midpoint,Pi,Theta,S
20527-21326,20926,0.004,0.0048,8
20577-21376,20976,0.0035,0.0042,7
20627-21426,21026,0.003,0.0036,6
20677-21476,21076,0.003,0.0036,6
20727-21526,21126,0.0035,0.0042,7
20777-21576,21176,0.0035,0.0042,7
20827-21626,21226,0.0035,0.0042,7
20877-21676,21276,0.004,0.0048,8
20927-21726,21326,0.0035,0.0042,7
20977-21776,21376,0.0035,0.0042,7
21027-21826,21426,0.0035,0.0042,7
21077-21876,21476,0.0035,0.0042,7
21127-21926,21526,0.003,0.0036,6
21177-21976,21576,0.003,0.0036,6
21227-22026,21626,0.003,0.0036,6
21277-22076,21676,0.002,0.0024,4
21327-22126,21726,0.0015,0.0018,3
21377-22176,21776,0.002,0.0024,4
21427-22226,21826,0.002,0.0024,4
21477-22276,21876,0.002,0.0024,4
21527-22326,21926,0.0015,0.0018,3
21577-22376,21976,0.0015,0.0018,3
21627-22426,22026,0.0015,0.0018,3
21677-22476,22076,0.001,0.0012,2
21727-22526,22126,0.001,0.0012,2
21777-22576,22176,0.001,0.0012,2
21827-22626,22226,0.001,0.0012,2
21877-22676,22276,0.001,0.0012,2
21927-22726,22326,0.001,0.0012,2
21977-22776,22376,0.0015,0.0018,3
22027-22826,22426,0.0015,0.0018,3
22077-22876,22476,0.001,0.0012,2
22127-22926,22526,0.0015,0.0018,3
22177-22976,22576,0.001,0.0012,2
22227-23026,22626,0.001,0.0012,2
22277-23076,22676,0.002,0.0024,4
22327-23126,22726,0.002,0.0024,4
22377-23176,22776,0.002,0.0024,4
22427-23226,22826,0.0025,0.003,5
22477-23277,22876,0.0025,0.003,5
22527-23327,22926,0.003,0.0036,6
22577-23377,22976,0.003,0.0036,6
22627-23427,23026,0.003,0.0036,6
22677-23477,23076,0.003,0.0036,6
22727-23527,23126,0.005,0.006,10
22777-23577,23176,0.0045,0.0054,9
22827-23627,23226,0.0045,0.0054,9
22877-23677,23277,0.005,0.006,10
22927-23727,23327,0.0045,0.0054,9
22977-23777,23377,0.005,0.006,10
23027-23827,23427,0.005,0.006,10
23077-23877,23477,0.004,0.0048,8
23127-23927,23527,0.004,0.0048,8
23177-23977,23577,0.004,0.0048,8
23227-24027,23627,0.0035,0.0042,7
23278-24077,23677,0.0035,0.0042,7
23328-24127,23727,0.003,0.0036,6
23378-24177,23777,0.003,0.0036,6
23428-24227,23827,0.003,0.0036,6
23478-24277,23877,0.003,0.0036,6
23528-24327,23927,0.0015,0.0018,3
23578-24377,23977,0.0015,0.0018,3
23628-24427,24027,0.0015,0.0018,3
23678-24477,24077,0.001,0.0012,2
23728-24527,24127,0.001,0.0012,2
23778-24577,24177,0.0005,0.0006,1
23828-24627,24227,0.0005,0.0006,1
23878-24677,24277,0.001,0.0012,2
23928-24727,24327,0.001,0.0012,2
23978-24777,24377,0.001,0.0012,2
24028-24827,24427,0.001,0.0012,2
24078-24877,24477,0.001,0.0012,2
24128-24927,24527,0.0015,0.0018,3
24178-24977,24577,0.0015,0.0018,3
24228-25027,24627,0.002,0.0024,4
24278-25077,24677,0.0025,0.003,5
24328-25127,24727,0.002,0.0024,4
24378-25177,24777,0.003,0.0036,6
24428-25227,24827,0.003,0.0036,6
24478-25277,24877,0.0035,0.0042,7
24528-25327,24927,0.0035,0.0042,7
24578-25377,24977,0.0035,0.0042,7
24628-25427,25027,0.004,0.0048,8
24678-25477,25077,0.0035,0.0042,7
24728-25527,25127,0.004,0.0048,8
24778-25577,25177,0.004,0.0048,8
24828-25627,25227,0.005,0.006,10
24878-25677,25277,0.005,0.006,10
24928-25727,25327,0.0045,0.0054,9
24978-25777,25377,0.0045,0.0054,9
25028-25827,25427,0.004,0.0048,8
25078-25877,25477,0.004,0.0048,8
25128-25927,25527,0.004,0.0048,8
25178-25977,25577,0.0035,0.0042,7
25228-26027,25627,0.004,0.0048,8
25278-26077,25677,0.0035,0.0042,7
25328-26127,25727,0.0035,0.0042,7
25378-26177,25777,0.0035,0.0042,7
25428-26227,25827,0.003,0.0036,6
25478-26277,25877,0.0035,0.0042,7
25528-26327,25927,0.003,0.0036,6
25578-26377,25977,0.003,0.0036,6
25628-26427,26027,0.002,0.0024,4
25678-26477,26077,0.00275,0.003,5
25728-26527,26127,0.00325,0.0036,6
25778-26577,26177,0.00375,0.0042,7
25828-26627,26227,0.00375,0.0042,7
25878-26677,26277,0.00325,0.0036,6
25928-26727,26327,0.00325,0.0036,6
25978-26777,26377,0.00275,0.003,5
26028-26827,26427,0.00225,0.0024,4
26078-26877,26477,0.00225,0.0024,4
26128-26927,26527,0.00275,0.003,5
26178-26977,26577,0.00325,0.0036,6
26228-27027,26627,0.00325,0.0036,6
26278-27077,26677,0.00325,0.0036,6
26328-27127,26727,0.00325,0.0036,6
26378-27177,26777,0.00325,0.0036,6
26428-27227,26827,0.00375,0.0042,7
26478-27277,26877,0.003,0.0036,6
26528-27327,26927,0.0025,0.003,5
26578-27377,26977,0.002,0.0024,4
26628-27427,27027,0.003,0.0036,6
26678-27477,27077,0.003,0.0036,6
26728-27527,27127,0.0035,0.0042,7
26778-27577,27177,0.004,0.0048,8
26828-27627,27227,0.005,0.006,10
26878-27677,27277,0.005,0.006,10
26928-27727,27327,0.0045,0.0054,9
26978-27777,27377,0.00625,0.0072,12
27028-27828,27427,0.00625,0.0072,12
27078-27878,27477,0.00575,0.0066,11
27128-27928,27527,0.00675,0.0078,13
27178-27981,27577,0.00675,0.0078,13
27228-28031,27627,0.00825,0.0096,16
27278-28081,27677,0.00925,0.0108,18
27328-28131,27727,0.01075,0.0126,21
27378-28181,27777,0.01075,0.0126,21
27428-28231,27828,0.00975,0.0114,19
27478-28282,27878,0.00975,0.0114,19
27528-28332,27928,0.00975,0.0114,19
27578-28382,27981,0.00925,0.0108,18
27628-28432,28031,0.00875,0.0102,17
27678-28483,28081,0.00875,0.0102,17
27728-28533,28131,0.00925,0.0108,18
27778-28594,28181,0.007,0.0084,14
27829-28644,28231,0.007,0.0084,14
27879-28694,28282,0.0075,0.009,15
27929-28744,28332,0.007,0.0084,14
27982-28794,28382,0.0085,0.0102,17
28032-28854,28432,0.007,0.0084,14
28082-28904,28483,0.0065,0.0078,13
28132-28961,28533,0.007,0.0084,14
28182-29011,28594,0.0095,0.0114,19
28232-29065,28644,0.01,0.012,20
28283-29118,28694,0.011,0.0132,22
28333-29168,28744,0.011,0.0132,22
28383-29218,28794,0.012,0.0144,24
28433-29268,28854,0.012,0.0144,24
28484-29318,28904,0.0125,0.015,25
28534-29368,28961,0.0125,0.015,25
28595-29418,29011,0.0125,0.015,25
28645-29468,29065,0.013,0.0156,26
28695-29518,29118,0.013,0.0156,26
28745-29568,29168,0.0125,0.015,25
28795-29618,29218,0.012,0.0144,24
28855-29668,29268,0.0115,0.0138,23
28905-29718,29318,0.0115,0.0138,23
28962-29838,29368,0.01,0.012,20
29012-29897,29418,0.009,0.0108,18
29066-29947,29468,0.0085,0.0102,17
29119-29997,29518,0.009,0.0108,18
29169-30047,29568,0.0095,0.0114,19
29219-30097,29618,0.0085,0.0102,17
29269-30147,29668,0.0085,0.0102,17
29319-30197,29718,0.008,0.0096,16
29369-30247,29838,0.008,0.0096,16
29419-30297,29897,0.008,0.0096,16
29469-30347,29947,0.009,0.0108,18
29519-30397,29997,0.0135,0.0162,27
29569-30447,30047,0.0135,0.0162,27
29619-30497,30097,0.0125,0.015,25
29669-30547,30147,0.0155,0.0174,29
29719-30597,30197,0.0155,0.0174,29
29839-30648,30247,0.015,0.0168,28
29898-30698,30297,0.014,0.0156,26
29948-30748,30347,0.014,0.0156,26
29998-30798,30397,0.013,0.0144,24
30048-30848,30447,0.012,0.0132,22
30098-30898,30497,0.0135,0.015,25
30148-30948,30547,0.013,0.0144,24
30198-30998,30597,0.0145,0.0162,27
30248-31048,30648,0.0145,0.0162,27
30298-31098,30698,0.015,0.0168,28
30348-31150,30748,0.0155,0.0174,29
30398-31200,30798,0.0105,0.0114,19
30448-31250,30848,0.0105,0.0114,19
30498-31300,30898,0.011,0.012,20
30548-31350,30948,0.0085,0.0102,17
30598-31400,30998,0.008,0.0096,16
30649-31450,31048,0.0085,0.0102,17
30699-31500,31098,0.008,0.0096,16
30749-31550,31150,0.008,0.0096,16
30799-31600,31200,0.0075,0.009,15
30849-31650,31250,0.008,0.0096,16
30899-31700,31300,0.0075,0.009,15
30949-31750,31350,0.008,0.0096,16
30999-31800,31400,0.007,0.0084,14
31049-31850,31450,0.007,0.0084,14
31099-31900,31500,0.007,0.0084,14
31151-31960,31550,0.006,0.0072,12
31201-32010,31600,0.006,0.0072,12
31251-32060,31650,0.006,0.0072,12
31301-32110,31700,0.00788,0.009,15
31351-32160,31750,0.00738,0.0084,14
31401-32219,31800,0.00738,0.0084,14
31451-32270,31850,0.00688,0.0078,13
31501-32320,31900,0.00788,0.009,15
31551-32370,31960,0.00888,0.0102,17
31601-32431,32010,0.00987,0.0114,19
31651-32481,32060,0.00987,0.0114,19
31701-32531,32110,0.00987,0.0114,19
31751-32581,32160,0.00937,0.0108,18
31801-32631,32219,0.00937,0.0108,18
31851-32681,32270,0.00937,0.0108,18
31901-32731,32320,0.00887,0.0102,17
31961-32781,32370,0.00787,0.009,15
32011-32831,32431,0.00787,0.009,15
32061-32881,32481,0.00837,0.0096,16
32111-32936,32531,0.0075,0.009,15
32161-32986,32581,0.0075,0.009,15
32220-33036,32631,0.008,0.0096,16
32271-33086,32681,0.0085,0.0102,17
32321-33136,32731,0.008,0.0096,16
32371-33186,32781,0.0075,0.009,15
32432-33236,32831,0.0065,0.0078,13
32482-33286,32881,0.0065,0.0078,13
32532-33336,32936,0.006,0.0072,12
32582-33386,32986,0.006,0.0072,12
32632-33436,33036,0.006,0.0072,12
32682-33486,33086,0.006,0.0072,12
32732-33536,33136,0.006,0.0072,12
32782-33586,33186,0.006,0.0072,12
32832-33636,33236,0.0065,0.0078,13
32882-33686,33286,0.006,0.0072,12
32937-33736,33336,0.0045,0.0054,9
32987-33786,33386,0.0045,0.0054,9
33037-33836,33436,0.004,0.0048,8
33087-33886,33486,0.0035,0.0042,7
33137-33936,33536,0.00375,0.0042,7
33187-33986,33586,0.00325,0.0036,6
33237-34036,33636,0.00325,0.0036,6
33287-34086,33686,0.00275,0.003,5
33337-34136,33736,0.00225,0.0024,4
33387-34186,33786,0.00225,0.0024,4
33437-34236,33836,0.00175,0.0018,3
33487-34286,33886,0.00225,0.0024,4
33537-34336,33936,0.00225,0.0024,4
33587-34386,33986,0.00225,0.0024,4
33637-34436,34036,0.00175,0.0018,3
33687-34486,34086,0.00175,0.0018,3
33737-34536,34136,0.00175,0.0018,3
33787-34586,34186,0.00225,0.0024,4
33837-34636,34236,0.00225,0.0024,4
33887-34686,34286,0.00325,0.0036,6
33937-34736,34336,0.003,0.0036,6
33987-34786,34386,0.003,0.0036,6
34037-34836,34436,0.004,0.0048,8
34087-34886,34486,0.0045,0.0054,9
