Window,Midpoint,Pi,Theta,S
17370-18169,17769,0.0016,0.0023,5
17420-18219,17819,0.0016,0.0023,5
17470-18269,17869,0.00104,0.00138,3
17520-18319,17919,0.00104,0.00138,3
17570-18369,17969,0.00104,0.00138,3
17620-18419,18019,0.00104,0.00138,3
17670-18469,18069,0.00132,0.00184,4
17720-18519,18119,0.00132,0.00184,4
17770-18569,18169,0.00132,0.00184,4
17820-18619,18219,0.00083,0.00138,3
17870-18669,18269,0.00083,0.00138,3
17920-18719,18319,0.00083,0.00138,3
17970-18769,18369,0.00208,0.00276,6
18020-18819,18419,0.00236,0.00322,7
18070-18869,18469,0.00208,0.00276,6
18120-18919,18519,0.00208,0.00276,6
18170-18969,18569,0.00208,0.00276,6
18220-19019,18619,0.00208,0.00276,6
18270-19069,18669,0.00292,0.00414,9
18320-19119,18719,0.0034,0.0046,10
18370-19169,18769,0.00368,0.00506,11
18420-19219,18819,0.00368,0.00506,11
18470-19269,18869,0.00368,0.00506,11
18520-19319,18919,0.00368,0.00506,11
18570-19369,18969,0.00368,0.00506,11
18620-19419,19019,0.00368,0.00506,11
18670-19469,19069,0.00417,0.00552,12
18720-19519,19119,0.00507,0.00644,14
18770-19569,19169,0.00382,0.00506,11
18820-19619,19219,0.00354,0.0046,10
18870-19669,19269,0.00354,0.0046,10
18920-19719,19319,0.00354,0.0046,10
18970-19769,19369,0.00354,0.0046,10
19020-19819,19419,0.00354,0.0046,10
19070-19869,19469,0.00271,0.00322,7
19120-19919,19519,0.00347,0.00368,8
19170-19969,19569,0.00319,0.00322,7
19220-20019,19619,0.00319,0.00322,7
19270-20069,19669,0.00382,0.00368,8
19320-20119,19719,0.00382,0.00368,8
19370-20169,19769,0.00382,0.00368,8
19420-20219,19819,0.00382,0.00368,8
19470-20269,19869,0.00389,0.00414,9
19520-20319,19919,0.0041,0.00414,9
19570-20369,19969,0.0041,0.00414,9
19620-20419,20019,0.0041,0.00414,9
19670-20469,20069,0.0041,0.00414,9
19720-20519,20119,0.00472,0.0046,10
19770-20569,20169,0.00521,0.00506,11
19820-20619,20219,0.00521,0.00506,11
19870-20669,20269,0.00549,0.00552,12
19920-20719,20319,0.00424,0.0046,10
19970-20769,20369,0.00424,0.0046,10
20020-20819,20419,0.00424,0.0046,10
20070-20869,20469,0.00333,0.00368,8
20120-20919,20519,0.00361,0.00414,9
20170-20969,20569,0.00361,0.00414,9
20220-21019,20619,0.00361,0.00414,9
20270-21069,20669,0.00306,0.00322,7
20320-21119,20719,0.00222,0.00276,6
20370-21169,20769,0.00222,0.00276,6
20420-21219,20819,0.00222,0.00276,6
20470-21269,20869,0.00299,0.00368,8
20520-21319,20919,0.00306,0.00368,8
20570-21369,20969,0.00257,0.00322,7
20620-21419,21019,0.00257,0.00322,7
20670-21469,21069,0.00229,0.00276,6
20720-21519,21119,0.00257,0.00322,7
20770-21569,21169,0.00257,0.00322,7
20820-21619,21219,0.00257,0.00322,7
20870-21669,21269,0.00285,0.00368,8
20920-21719,21319,0.00257,0.00322,7
20970-21769,21369,0.00257,0.00322,7
21020-21819,21419,0.00257,0.00322,7
21070-21869,21469,0.00257,0.00322,7
21120-21919,21519,0.00229,0.00276,6
21170-21969,21569,0.00229,0.00276,6
21220-22019,21619,0.00229,0.00276,6
21270-22069,21669,0.00181,0.0023,5
21320-22119,21719,0.00083,0.00138,3
21370-22169,21769,0.00111,0.00184,4
21420-22219,21819,0.00111,0.00184,4
21470-22269,21869,0.00139,0.0023,5
21520-22319,21919,0.00111,0.00184,4
21570-22369,21969,0.00111,0.00184,4
21620-22419,22019,0.00111,0.00184,4
21670-22469,22069,0.00083,0.00138,3
21720-22519,22119,0.00083,0.00138,3
21770-22569,22169,0.00083,0.00138,3
21820-22619,22219,0.00083,0.00138,3
21870-22669,22269,0.00111,0.00184,4
21920-22719,22319,0.00111,0.00184,4
21970-22769,22369,0.00139,0.0023,5
22020-22819,22419,0.00139,0.0023,5
22070-22869,22469,0.00111,0.00184,4
22120-22919,22519,0.00139,0.0023,5
22170-22969,22569,0.00111,0.00184,4
22220-23019,22619,0.00111,0.00184,4
22270-23069,22669,0.00132,0.00184,4
22320-23119,22719,0.0016,0.0023,5
22370-23169,22769,0.0016,0.0023,5
22420-23219,22819,0.00188,0.00276,6
22470-23269,22869,0.00215,0.00322,7
22520-23320,22919,0.00243,0.00368,8
22570-23370,22969,0.00243,0.00368,8
22620-23420,23019,0.00243,0.00368,8
22670-23470,23069,0.00215,0.00322,7
22720-23520,23119,0.00319,0.0046,10
22770-23570,23169,0.00354,0.0046,10
22820-23620,23219,0.00354,0.0046,10
22870-23670,23269,0.00417,0.00506,11
22920-23720,23320,0.00389,0.0046,10
22970-23770,23370,0.00438,0.00506,11
23020-23820,23420,0.00438,0.00506,11
23070-23870,23470,0.00389,0.0046,10
23120-23920,23520,0.00361,0.00414,9
23170-23970,23570,0.00361,0.00414,9
23220-24020,23620,0.00333,0.00368,8
23270-24070,23670,0.00306,0.00322,7
23321-24120,23720,0.00278,0.00276,6
23371-24170,23770,0.00278,0.00276,6
23421-24220,23820,0.00278,0.00276,6
23471-24270,23870,0.00278,0.00276,6
23521-24320,23920,0.00236,0.00184,4
23571-24370,23970,0.00174,0.00138,3
23621-24420,24020,0.00174,0.00138,3
23671-24470,24070,0.00111,0.00092,2
23721-24520,24120,0.00111,0.00092,2
23771-24570,24170,0.00063,0.00046,1
23821-24620,24220,0.00063,0.00046,1
23871-24670,24270,0.0009,0.00092,2
23921-24720,24320,0.0009,0.00092,2
23971-24770,24370,0.0009,0.00092,2
24021-24820,24420,0.0009,0.00092,2
24071-24870,24470,0.0009,0.00092,2
24121-24920,24520,0.00139,0.00138,3
24171-24970,24570,0.00139,0.00138,3
24221-25020,24620,0.00167,0.00184,4
24271-25070,24670,0.00194,0.0023,5
24321-25120,24720,0.00132,0.00184,4
24371-25170,24770,0.00188,0.00276,6
24421-25220,24820,0.00188,0.00276,6
24471-25270,24870,0.00215,0.00322,7
24521-25320,24920,0.00215,0.00322,7
24571-25370,24970,0.00215,0.00322,7
24621-25420,25020,0.00243,0.00368,8
24671-25470,25070,0.00215,0.00322,7
24721-25520,25120,0.00278,0.00368,8
24771-25570,25170,0.00278,0.00368,8
24821-25620,25220,0.00326,0.00414,9
24871-25670,25270,0.00354,0.0046,10
24921-25720,25320,0.00306,0.00414,9
24971-25770,25370,0.00306,0.00414,9
25021-25820,25420,0.00278,0.00368,8
25071-25870,25470,0.00278,0.00368,8
25121-25920,25520,0.00278,0.00368,8
25171-25970,25570,0.0025,0.00322,7
25221-26020,25620,0.00313,0.00368,8
25271-26070,25670,0.00285,0.00322,7
25321-26120,25720,0.00285,0.00322,7
25371-26170,25770,0.00285,0.00322,7
25421-26220,25820,0.00257,0.00276,6
25471-26270,25870,0.00285,0.00322,7
25521-26320,25920,0.00222,0.00276,6
25571-26370,25970,0.00222,0.00276,6
25621-26420,26020,0.00174,0.0023,5
25671-26470,26070,0.00146,0.00184,4
25721-26520,26120,0.00215,0.0023,5
25771-26570,26170,0.00292,0.00322,7
25821-26620,26220,0.00292,0.00322,7
25871-26670,26270,0.00264,0.00276,6
25921-26720,26320,0.00264,0.00276,6
25971-26770,26370,0.00236,0.0023,5
26021-26820,26420,0.00174,0.00184,4
26071-26870,26470,0.00174,0.00184,4
26121-26920,26520,0.00222,0.0023,5
26171-26970,26570,0.00222,0.0023,5
26221-27020,26620,0.0025,0.00276,6
26271-27070,26670,0.0025,0.00276,6
26321-27120,26720,0.0025,0.00276,6
26371-27170,26770,0.0025,0.00276,6
26421-27220,26820,0.00278,0.00322,7
26471-27270,26870,0.00278,0.00322,7
26521-27320,26920,0.00208,0.00276,6
26571-27370,26970,0.00132,0.00184,4
26621-27420,27020,0.00188,0.00276,6
26671-27470,27070,0.00188,0.00276,6
26721-27520,27120,0.00215,0.00322,7
26771-27570,27170,0.00243,0.00368,8
26821-27620,27220,0.00333,0.0046,10
26871-27670,27270,0.00333,0.0046,10
26921-27720,27320,0.00285,0.00414,9
26971-27770,27370,0.00375,0.00506,11
27021-27821,27420,0.00472,0.00598,13
27071-27871,27470,0.00444,0.00552,12
27121-27921,27520,0.005,0.00644,14
27171-27974,27570,0.005,0.00644,14
27221-28024,27620,0.00576,0.00736,16
27271-28074,27670,0.00653,0.00828,18
27321-28124,27720,0.00785,0.01012,22
27371-28174,27770,0.00785,0.01012,22
27421-28224,27821,0.00729,0.0092,20
27471-28275,27871,0.00729,0.0092,20
27521-28325,27921,0.00764,0.0092,20
27571-28375,27974,0.00736,0.00874,19
27621-28425,28024,0.00646,0.00782,17
27671-28476,28074,0.00674,0.00828,18
27721-28526,28124,0.00674,0.00828,18
27771-28587,28174,0.00646,0.00782,17
27822-28637,28224,0.00521,0.00644,14
27872-28687,28275,0.00549,0.0069,15
27922-28737,28325,0.00542,0.00644,14
27975-28787,28375,0.00625,0.00782,17
28025-28847,28425,0.00611,0.00736,16
28075-28897,28476,0.00563,0.0069,15
28125-28958,28526,0.00563,0.0069,15
28175-29008,28587,0.00674,0.00874,19
28225-29062,28637,0.00729,0.00966,21
28276-29115,28687,0.00785,0.01058,23
28326-29165,28737,0.0075,0.01058,23
28376-29215,28787,0.0084,0.0115,25
28426-29265,28847,0.0084,0.0115,25
28477-29315,28897,0.00868,0.01196,26
28527-29365,28958,0.00896,0.01242,27
28588-29415,29008,0.00833,0.01196,26
28638-29465,29062,0.00861,0.01242,27
28688-29515,29115,0.00882,0.01242,27
28738-29565,29165,0.00833,0.01196,26
28788-29615,29215,0.0084,0.0115,25
28848-29665,29265,0.0075,0.01058,23
28898-29715,29315,0.0075,0.01058,23
28959-29835,29365,0.00681,0.0092,20
29009-29894,29415,0.00757,0.0092,20
29063-29944,29465,0.00701,0.00828,18
29116-29994,29515,0.0075,0.00874,19
29166-30044,29565,0.00778,0.0092,20
29216-30094,29615,0.00688,0.00828,18
29266-30144,29665,0.0075,0.00874,19
29316-30194,29715,0.00694,0.00782,17
29366-30244,29835,0.00694,0.00782,17
29416-30294,29894,0.00694,0.00782,17
29466-30344,29944,0.00722,0.00828,18
29516-30394,29994,0.01007,0.01334,29
29566-30444,30044,0.01007,0.01334,29
29616-30494,30094,0.00944,0.01288,28
29666-30544,30144,0.01208,0.01472,32
29716-30594,30194,0.01236,0.01518,33
29836-30645,30244,0.01174,0.01472,32
29895-30695,30294,0.00986,0.01288,28
29945-30746,30344,0.01035,0.01334,29
29995-30796,30394,0.00979,0.01242,27
30045-30846,30444,0.00924,0.0115,25
30095-30896,30494,0.01028,0.01288,28
30145-30946,30544,0.00965,0.01242,27
30195-30996,30594,0.01069,0.0138,30
30245-31046,30645,0.01132,0.01426,31
30295-31096,30695,0.01188,0.01518,33
30345-31148,30746,0.01243,0.0161,35
30395-31198,30796,0.0091,0.01058,23
30445-31248,30846,0.0091,0.01058,23
30495-31298,30896,0.0091,0.01058,23
30545-31348,30946,0.00674,0.0092,20
30595-31398,30996,0.00618,0.00828,18
30646-31448,31046,0.00646,0.00874,19
30696-31498,31096,0.00646,0.00874,19
30747-31548,31148,0.00597,0.00828,18
30797-31598,31198,0.00549,0.00782,17
30847-31648,31248,0.00611,0.00828,18
30897-31698,31298,0.00535,0.00736,16
30947-31748,31348,0.00583,0.00782,17
30997-31798,31398,0.00556,0.00736,16
31047-31848,31448,0.00528,0.0069,15
31097-31898,31498,0.005,0.00644,14
31149-31948,31548,0.00444,0.00552,12
31199-32008,31598,0.00444,0.00552,12
31249-32058,31648,0.00444,0.00552,12
31299-32108,31698,0.00569,0.0069,15
31349-32158,31748,0.00542,0.00644,14
31399-32208,31798,0.00542,0.00644,14
31449-32268,31848,0.00514,0.00598,13
31499-32318,31898,0.00604,0.0069,15
31549-32368,31948,0.00681,0.00782,17
31599-32429,32008,0.00743,0.00828,18
31649-32479,32058,0.00736,0.00874,19
31699-32529,32108,0.00736,0.00874,19
31749-32579,32158,0.00743,0.0092,20
31799-32629,32208,0.00694,0.00874,19
31849-32679,32268,0.0066,0.00874,19
31899-32729,32318,0.00632,0.00828,18
31959-32779,32368,0.00576,0.00736,16
32009-32829,32429,0.00576,0.00736,16
32059-32879,32479,0.00625,0.00782,17
32109-32936,32529,0.00618,0.00736,16
32159-32986,32579,0.00618,0.00736,16
32209-33036,32629,0.00646,0.00782,17
32269-33086,32679,0.00674,0.00828,18
32319-33136,32729,0.00646,0.00782,17
32369-33186,32779,0.00597,0.00736,16
32430-33236,32829,0.00535,0.0069,15
32480-33286,32879,0.00542,0.00644,14
32530-33336,32936,0.00542,0.00644,14
32580-33386,32986,0.00486,0.00552,12
32630-33436,33036,0.00486,0.00552,12
32680-33486,33086,0.00521,0.00552,12
32730-33536,33136,0.00521,0.00552,12
32780-33586,33186,0.00521,0.00552,12
32830-33636,33236,0.00549,0.00598,13
32880-33686,33286,0.005,0.00552,12
32937-33736,33336,0.00354,0.00414,9
32987-33786,33386,0.00354,0.00414,9
33037-33836,33436,0.00326,0.00368,8
33087-33886,33486,0.00299,0.00322,7
33137-33936,33536,0.00306,0.00322,7
33187-33986,33586,0.00278,0.00276,6
33237-34036,33636,0.00278,0.00276,6
33287-34086,33686,0.00215,0.0023,5
